,driver,trip,starttime,endtime
0,1,20,50030,51890
1,1,20,56560,69820
4,1,31,3290,18350
6,2,1,57900,58770
7,2,7,33030,34090
8,2,9,700,9230
9,2,9,10990,16720
10,2,9,19220,25610
11,2,9,36870,41900
13,2,9,45850,48700
14,2,9,58860,59930
15,2,9,78100,79450
16,2,9,82300,88650
17,3,32,55670,56990
18,4,1,57990,64640
20,4,1,70340,87260
21,4,1,90170,94270
22,4,2,144560,155720
23,4,3,8560,13830
24,4,3,31240,33920
25,4,6,22690,25310
26,4,6,35760,37500
27,4,6,51080,55350
28,4,6,68470,72370
29,4,6,109780,116230
30,4,6,131800,136860
32,4,6,216570,218380
33,4,6,243480,247210
34,4,6,262360,271320
35,4,6,323770,334040
36,4,6,471400,472780
37,4,6,486170,494050
38,4,6,502400,511040
39,4,6,572260,578300
40,4,6,609210,612830
41,4,7,0,7160
42,4,7,25750,28020
43,4,7,46630,51360
44,4,9,32580,40540
45,4,11,27100,28130
46,4,16,2740,31650
48,4,18,11470,16440
49,4,19,126040,133240
51,4,19,178820,182280
52,4,19,435470,436880
53,4,19,479040,481270
54,4,22,60690,65500
55,4,22,186610,187840
56,4,22,208390,224430
57,4,22,232400,233390
58,4,27,16000,21620
59,4,27,32150,33950
60,4,28,17420,27800
61,4,28,41760,55070
62,4,28,59400,63490
64,4,28,133420,135000
65,4,28,139320,140480
66,4,28,162240,166310
67,4,30,114690,128500
69,4,31,72720,79500
70,4,31,138080,138930
71,4,31,222840,230760
72,4,33,11020,13340
73,4,33,15240,19590
74,4,33,25930,43500
75,4,34,1380,2700
76,4,34,41610,42810
77,4,36,2480,7350
78,4,39,4860,5770
79,4,39,53240,54180
80,4,41,3510,8570
82,4,41,77060,80220
83,4,41,93540,94370
84,4,41,102370,105540
85,4,41,115670,148300
88,4,41,151090,162580
91,4,41,169090,173570
92,4,41,176160,184960
94,4,41,187520,193490
95,4,41,197420,201030
96,4,41,206620,215170
97,4,41,222320,232870
98,4,41,236170,237740
99,4,41,316220,318320
100,4,44,67230,68240
101,4,44,169080,169870
102,4,44,188160,193350
103,4,44,197060,203930
104,4,44,203220,211300
105,4,44,218990,221450
106,4,44,233200,237080
107,6,6,20620,42670
108,6,15,16000,40090
111,6,15,126710,164500
112,6,15,167340,189690
114,6,15,305330,314100
115,6,16,15560,22130
116,7,1,25480,37520
117,7,1,120360,129400
118,8,1,9220,14880
119,8,1,35150,36240
120,8,7,17670,22110
121,8,24,278140,279570
122,10,2,17550,25300
123,10,9,24000,24820
124,10,9,85880,86600
125,10,10,10130,17810
126,10,10,19940,24760
127,10,13,2800,9330
128,10,14,12220,18440
129,10,17,88830,92960
130,11,3,71960,78020
131,11,7,9880,17480
132,11,7,19360,27240
133,11,18,124320,146230
134,11,18,152450,155650
135,11,18,195940,199830
136,11,19,22110,24110
137,11,28,53660,58420
138,11,28,62350,68580
139,11,28,71960,79420
140,11,28,93280,96460
141,11,32,10170,18010
142,11,32,109830,124850
143,14,30,83560,98870
144,14,30,126830,128940
145,14,35,107770,119120
146,15,2,45330,47020
147,15,2,50070,51730
148,15,4,294920,298800
149,15,4,332570,336170
150,15,16,58660,61100
151,16,1,86580,93250
152,16,7,32300,42210
153,16,7,45970,48280
154,16,18,0,14780
155,16,18,50700,55000
156,17,2,19780,26170
157,17,3,20240,26230
158,17,3,65450,67950
159,17,14,22130,33090
160,17,17,5260,17630
161,17,29,16410,23970
162,17,29,65770,69380
163,17,29,83570,84870
164,17,36,105860,109570
165,18,2,166450,175150
167,18,2,178750,182640
168,18,5,93950,98860
169,18,5,112160,116510
170,18,15,560,11690
171,18,17,2500,10800
172,18,20,4680,8240
173,18,24,26580,29360
174,18,32,1910,3730
175,18,32,7540,17730
176,18,33,42420,46870
